A.R. 펭크 | A.R. Penck | 1939-2017
공성훈 | Kong Sunghun | 1965-2021
곽덕준 | Kwak Duckjun | 1937-2025
곽인식 | Quac Insik | 1919-1988
구본웅 | Gu Bon-ung | 1906-1952
권영우 | Kwon Youngwoo | 1926-2013
권옥연 | Kwon Okyon | 1923-2011
권진규 | Kwon Jin Kyu | 1922-1973
김경승 | Kim Kyungseung | 1915-1992
김기린 | Kim Guiline | 1936-2021
김기창 | Kim Ki-chang | 1913-2001
김동수 | Kim Dongsoo | 1935-2011
김병기 | Kim Byungki | 1916-2022
김수근 | Kim Sooguen | 1931-1986
김영기 | Kim Youngki | 1911-2003
김영수 | Kim Youngsoo | 1946-2011
김영주 | Kim Youngjoo | 1920-1995
김용태 | Kim Yongtae | 1946-2014
김인승 | Kim In-seung | 1910-2001
김정숙 | Kim Chungsook | 1917-1991
김종하 | Kim Chongha | 1918-2011
김중현 | Kim Jung-hyeon | 1901-1953
김차섭 | Tchah-Sup Kim | 1940-2022
김창열 | Kim Tschang-Yeul | 1929-2021
김태호 | Kim Tae-Ho | 1948-2022
김형구 | Kim Hyungkoo | 1922-2015
나혜석 | Na Haesuck | 1896-1948
남관 | Nam Kwan | 1911-1990
도미야마 다에코 | Taeko Tomiyama | 1921-2021
도상봉 | Do Sang-bong | 1902-1977
루이즈 부르주아 | Louise Bourgeois | 1911-2010
류경채 | Ryu Kyungchai | 1920-1995
류인 | Ryu In | 1956-1999
마르크 샤갈 | Marc Chagall | 1887-1985
문신 | Moon Shin | 1923-1995
문학진 | Moon Hakjin | 1924-2019
민경갑 | Min Kyoungkap | 1933-2018
민철홍 | Min Chulhong | 1933-2020
박노수 | Park No-soo | 1927-2013
박득순 | Park Deuksoon | 1910-1990
박래현 | Park Rehyun | 1920-1976
박병욱 | Park Byungwook | 1939-2010
박상옥 | Park Sangok | 1915-1968
박생광 | Park Saengkwang | 1904-1985
박영선 | Park Youngseun | 1910-1994
박영숙 | Park Youngsook | 1941-2025
박현기 | Park Hyunki | 1942-2000
박희선 | Park Heesun | 1956-1997
방혜자 | Bang Hai Ja | 1937-2022
배만실 | Pai Mansil | 1923-2018
백문기 | Paik Moonki | 1927-2018
백태호 | Paik Taiho | 1925-2009
백현옥 | Baik Hyunok | 1939-2024
변관식 | Byeon Gwan-sik | 1899-1976
빌 비올라 | Bill Viola | 1951-2024
서동진 | Seo Dongjin | 1900-1970
서세옥 | Suh Se Ok | 1929-2020
손수광 | Shon Sookwang | 1943-2002
손장섭 | Son Jangsup | 1941-2021
송번수 | Song Burnsoo | 1943-2026
송수남 | Song Soonam | 1938-2013
앤디워홀 | Andy Warhol | 1928-1987
엄정윤 | Um Jeongyoon | 1927-2025
여운 | Yeo Un | 1947-2013
오윤 | Oh Yoon | 1946-1986
오종욱 | Oh Jong-uk | 1934-1995
오지호 | Oh Ji-ho | 1905-1982
요셉 보이스 | Joseph Beuys | 1921-1986
유리지 | Yoo Lizzy | 1945-2013
육명심 | Yook Myoungshim | 1933-2025
육태진 | Yook Taejin | 1961-2008
윤애근 | Yun Aekun | 1943-2010
윤재우 | Yoon Jaewoo | 1917-2005
윤중식 | Yoon Jungsik | 1913-2012
이경모 | Lee Gyeongmo | 1926-2001
이규철 | Lee Kyuchul | 1948-1994
이대원 | Lee Dae-won | 1921-2005
이동훈 | Lee Donghoon | 1903-1984
이두식 | Lee Dooshik | 1947-2013
이만익 | Lee Manik | 1938-2012
이병용 | Lee Byoungyong | 1948-2001
이상국 | Lee Sangguk | 1947-2014
이성자 | Seund Ja Rhee | 1918-2009
이세득 | Lee Seduk | 1921-2001
이승조 | Lee Seungjio | 1941-1990
이유태 | Lee Yootae | 1916-1999
이응노 | Lee Ungno | 1904-1989
이인성 | Lee In-sung | 1912-1950
이일 | Lee Il | 1932-1997
이정민 | Yi Joungmin | 1971-2019
이종우 | Lee Chongwoo | 1899-1981
이준 | Lee Joon | 1919-2021
이현옥 | Lee Hyunok | 1909-2000
이형록 | Lee Hyungrok | 1917-2011
임응식 | Limb Eungsik | 1912-2001
임직순 | Yim Jiksoon | 1921-1996
장두건 | Chang Dookun | 1918-2015
장우성 | Chang Woosoung | 1912-2005
장욱진 | Chang Ucchin | 1917-1990
전국광 | Chun Kook-kwang | 1945-1990
전몽각 | Jeon Mong Gag | 1931-2006
전화황 | Chun Hwahwang | 1909-1996
정기용 | Chung Guyon | 1945-2011
정대유 | Jeong Dae-yu | 1852-1927
정범태 | Chung Bumtai | 1928-2019
정재철 | Jung Jaechul | 1959-2020
정점식 | Jung Jeoumsik | 1917-2009
정찬영 | Jung Chanyoung | 1906-1988
정창섭 | Chung Chang-sup | 1927-2011
정탁영 | Chung Takyoung | 1937-2012
존 케이지 | John Cage | 1912-1992
진시우 | Jin Shiu | 1975-2019
차학경 | Theresa Hak Kyung Cha | 1951-1982
천경자 | Chun Kyung-ja | 1924-2015
최경한 | Choi Kyunghan | 1932-2017
최계복 | Choi Kyebok | 1909-2002
최덕휴 | Choi Dukhyu | 1922-1998
최만린 | Choi Man-lin | 1935-2020
최병소 | Choi Byungso | 1943-2025
최영림 | Choi Youngrim | 1916-1985
최욱경 | Wook-kyung Choi | 1940-1985
크리스토 | Christo | 1935-2020
크리스티앙 볼탕스키 | Christian Boltanski | 1944-2021
클로드 모네 | Claude Monet | 1840-1926
폴 고갱 | Paul Gauguin | 1848-1903
피에르 오귀스트 르누아르 | Pierre-Auguste Renoir | 1841-1919
하동철 | Ha Dongchul | 1942-2006
하인두 | Ha Indoo | 1930-1989
한영수 | Han Youngsoo | 1933-1999
홍종명 | Hong Jongmyoung | 1922-2004
황병기 | Hwang Byungki | 1936-2018
황창배 | Hwang Changbae | 1947-2001
